Fitness,Player_Life,Enemy_Life,Time,Generataion
-4.624972813284271,0,100,102,0
-4.672828834461906,0,100,107,0
-4.770684624465665,0,100,118,0
-4.770684624465665,0,100,118,0
-4.836281906951478,0,100,126,0
-4.882801922586371,0,100,132,0
-4.882801922586371,0,100,132,0
-4.882801922586371,0,100,132,0
-4.962844630259907,0,100,143,0
-4.997212273764115,0,100,148,0
-5.043425116919247,0,100,155,0
-5.075173815233827,0,100,160,0
-5.147494476813453,0,100,172,0
-5.209486152841421,0,100,183,0
-5.209486152841421,0,100,183,0
-5.25227342804663,0,100,191,0
-5.272999558563747,0,100,195,0
-5.272999558563747,0,100,195,0
-5.707110264748875,0,100,301,0
-5.860786223465865,0,100,351,0
57.601837298482245,0,30.0,221,1
22.002787726235887,0,70.0,148,1
21.989364705903746,0,70.0,150,1
21.130703086866227,0,70.0,354,1
12.790513847158579,0,80.0,183,1
12.790513847158579,0,80.0,183,1
12.774253326286798,0,80.0,186,1
4.163718093048522,0,90.0,126,1
3.9565748830807532,0,90.0,155,1
3.950143992750463,0,90.0,156,1
-4.465908118654584,0,100,87,1
-4.532599493153256,0,100,93,1
-4.543294782270004,0,100,94,1
-4.543294782270004,0,100,94,1
-4.61512051684126,0,100,101,1
-4.624972813284271,0,100,102,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
